source_sku,relationship_type,target_sku,requirement,evidence,source_page,confidence,review_required
K-39505IN-AF,requires,K-99054IN-AF,mandatory,Wall mount shower arm K-99054IN-AF,106,high,false
K-28694IN-AF,requires,K-99035T-AF,mandatory,Hand shower bracket in french gold K-99035T-AF,107,high,false
K-28695IN-AF,requires,K-99035T-AF,mandatory,Hand shower bracket in french gold K-99035T-AF,107,high,false
K-97009T-AF,requires,K-99035T-AF,mandatory,"Hand shower bracket in rose gold K-99035T-AF, Flexible hose K-12067IN-AF",107,high,false
K-97009T-AF,requires,K-12067IN-AF,mandatory,"Hand shower bracket in rose gold K-99035T-AF, Flexible hose K-12067IN-AF",107,high,false
K-39502IN-AF,requires,K-99035T-AF,mandatory,"Handshower bracket in french gold (K-99035T-AF), Flexible hose (K-12067IN-AF)",107,high,false
K-39502IN-AF,requires,K-12067IN-AF,mandatory,"Handshower bracket in french gold (K-99035T-AF), Flexible hose (K-12067IN-AF)",107,high,false
K-98445IN-AF,requires,K-99035T-AF,mandatory,Hand shower bracket in french gold K-99035T-AF,107,high,false
K-30318IN-AF,requires,K-30319IN-NA,mandatory,"Anthem+ Digital Control 28214-ASC-BL, Amplifier K-30319IN-NA",107,high,false
K-26350IN-9-AF,requires,K-26344IN-NA,mandatory,"Trim only, for use with valve (K-26344IN-NA)",107,high,false
EX26349T-9-AF,requires,K-26343T-NA,mandatory,"Trim only, for use with valve (K-26343T-NA)",107,high,false
K-26348IN-9-AF,requires,K-26342IN-NA,mandatory,"Trim only, for use with valve (K-26342IN-NA)",107,high,false
K-26347IN-9-AF,requires,K-26341IN-NA,mandatory,"Trim only, for use with valve (K-26341IN-NA)",107,high,false
K-25761IN-9-AF,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve (K-20740IN-A-NA)",108,high,false
K-20742IN-9FP-AF,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve (K-20740IN-A-NA)",108,high,false
K-24431IN-9FP-AF,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve (K-20740IN-A-NA)",108,high,false
K-99925IN-4FP-AF,requires,K-99924IN-AF,mandatory,"Trim only, for use with valve (K-99924IN-AF)",108,high,false
K-23486IN-4ND-BV,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",114,high,false
K-23496IN-4SL-BV,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",114,high,false
K-5684IN-4ND-BV,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",115,high,false
K-72328IN-4SL-BV,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",115,high,false
K-5683IN-4ND-BV,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",115,high,false
K-72290IN-4SL-BV,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",115,high,false
K-38896IN-4FS-BV,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",116,high,false
K-38889IN-4FS-BV,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",116,high,false
K-9301IN-ZX-BV,requires,K-15399T-B-BV,mandatory,Ceiling-mount shower arm in brushed bronze (K-15399T-B-BV),117,high,false
K-26297IN-BV,requires,K-26324IN-BV,mandatory,Statement™ wall mount shower arm in brushed bronze K-26324IN-BV,117,high,false
K-9302IN-CL-BV,requires,K-15399T-B-BV,mandatory,Ceiling-mount shower arm in brushed bronze (K-15399T-B-BV),117,high,false
K-26296IN-BV,requires,K-26324IN-BV,mandatory,Statement™ wall mount shower arm in brushed bronze K-26324IN-BV,117,high,false
K-24470IN-BV,requires,K-26324IN-BV,mandatory,Statement™ wall mount shower arm in brushed bronze K-26324IN-BV,117,high,false
K-26294IN-BV,requires,K-16346IN-BV,mandatory,Statement™ Wall/ceiling-mount shower arm in brushed bronze K-16346IN-BV,117,high,false
K-38629IN-BV,requires,K-26324IN-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-26324IN-BV),117,high,false
K-27731IN-BV,requires,K-16346IN-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),117,high,false
K-27731IN-BV,requires,K-15399T-B-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),117,high,false
K-26856IN-BV,requires,K-16346IN-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),117,high,false
K-26856IN-BV,requires,K-15399T-B-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),117,high,false
K-26855IN-BV,requires,K-16346IN-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),117,high,false
K-26855IN-BV,requires,K-15399T-B-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),117,high,false
K-26854IN-BV,requires,K-16346IN-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),117,high,false
K-26854IN-BV,requires,K-15399T-B-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),117,high,false
K-38973IN-BV,requires,K-16346IN-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),118,high,false
K-38973IN-BV,requires,K-15399T-B-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),118,high,false
K-39507IN-BV,requires,K-16346IN-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),118,high,false
K-39507IN-BV,requires,K-15399T-B-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),118,high,false
K-26290IN-BV,requires,K-26318IN-BV,mandatory,Wall mount shower arm in brushed bronze K-26318IN-BV,118,high,false
K-38972IN-BV,requires,K-16346IN-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),118,high,false
K-38972IN-BV,requires,K-15399T-B-BV,mandatory,Wall/ceiling-mount shower arm in brushed bronze (K-16346IN-BV/K-15399T-B-BV),118,high,false
K-28694IN-BV,requires,K-9038IN-BV,mandatory,Hand shower bracket in brushed bronze K-9038IN-BV,118,high,false
K-28695IN-BV,requires,K-9038IN-BV,mandatory,Hand shower bracket in brushed bronze K-9038IN-BV,118,high,false
K-39502IN-BV,requires,K-9038IN-BV,mandatory,"Hand shower bracket in brushed bronze K-9038IN-BV, Flexible hose K-12067IN-BV",119,high,false
K-39502IN-BV,requires,K-12067IN-BV,mandatory,"Hand shower bracket in brushed bronze K-9038IN-BV, Flexible hose K-12067IN-BV",119,high,false
K-98445IN-BV,requires,K-9038IN-BV,mandatory,Hand shower bracket in brushed bronze K-9038IN-BV,119,high,false
K-30318IN-BV,requires,K-30319IN-NA,mandatory,"Anthem+ Digital Control 28214-ASC-BL, Amplifier K-30319IN-NA",119,high,false
K-26350IN-9-BV,requires,K-26344IN-NA,mandatory,"Trim only, for use with valve K-26344IN-NA",119,high,false
K-26349W-9-BV,requires,K-26343T-NA,mandatory,"Trim only, for use with valve K-26343T-NA",119,high,false
K-26348IN-9-BV,requires,K-26342IN-NA,mandatory,"Trim only, for use with valve K-26342IN-NA",119,high,false
K-26347IN-9-BV,requires,K-26341IN-NA,mandatory,"Trim only, for use with valve K-26341IN-NA",119,high,false
K-20742IN-9FP-BV,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",119,high,false
K-24431IN-9FP-BV,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",119,high,false
K-25761IN-9-RGD,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",124,high,false
K-23486IN-4ND-RGD,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",124,high,false
K-23496IN-4SL-RGD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",124,high,false
K-5684IN-4ND-RGD,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",125,high,false
K-72328IN-4SL-RGD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",125,high,false
K-5683IN-4ND-RGD,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",125,high,false
K-72290IN-4SL-RGD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",125,high,false
K-38896IN-4FS-RGD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",126,high,false
K-38889IN-4FS-RGD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",126,high,false
K-23971IN-4SL-RGD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",127,high,false
K-9301IN-ZX-RGD,requires,K-16347IN-RGD,mandatory,Ceiling-mount shower arm in rose gold (K-16347IN-RGD),127,high,false
K-26297IN-RGD,requires,K-26324IN-RGD,mandatory,Statement™ wall/ceiling-mount shower arm in rose gold (K-26324IN-RGD/K-26326T-RGD),127,high,false
K-26297IN-RGD,requires,K-26326T-RGD,mandatory,Statement™ wall/ceiling-mount shower arm in rose gold (K-26324IN-RGD/K-26326T-RGD),127,high,false
K-9302IN-CL-RGD,requires,K-16347IN-RGD,mandatory,Ceiling-mount shower arm in rose gold (K-16347IN-RGD),127,high,false
K-26296IN-RGD,requires,K-26324IN-RGD,mandatory,Statement™ wall/ceiling-mount shower arm in rose gold K-26324IN-RGD/K-26326T-RGD,127,high,false
K-26296IN-RGD,requires,K-26326T-RGD,mandatory,Statement™ wall/ceiling-mount shower arm in rose gold K-26324IN-RGD/K-26326T-RGD,127,high,false
K-24470IN-RGD,requires,K-26324IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-26324IN-RGD/K-26326T-RGD),127,high,false
K-24470IN-RGD,requires,K-26326T-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-26324IN-RGD/K-26326T-RGD),127,high,false
K-26294IN-RGD,requires,K-16346IN-RGD,mandatory,Statement™ wall/ceiling-mount shower arm in rose gold K-16346IN-RGD/K-16347IN-RGD,127,high,false
K-26294IN-RGD,requires,K-16347IN-RGD,mandatory,Statement™ wall/ceiling-mount shower arm in rose gold K-16346IN-RGD/K-16347IN-RGD,127,high,false
K-38629IN-RGD,requires,K-26324IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-26324IN-RGD/K-26326T-RGD),128,high,false
K-38629IN-RGD,requires,K-26326T-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-26324IN-RGD/K-26326T-RGD),128,high,false
K-27731IN-RGD,requires,K-16346IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-27731IN-RGD,requires,K-16347IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-26856IN-RGD,requires,K-16346IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-26856IN-RGD,requires,K-16347IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-26855IN-RGD,requires,K-16346IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-26855IN-RGD,requires,K-16347IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-26854IN-RGD,requires,K-16346IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-26854IN-RGD,requires,K-16347IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-38973IN-RGD,requires,K-16346IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-38973IN-RGD,requires,K-16347IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-39507IN-RGD,requires,K-16346IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-39507IN-RGD,requires,K-16347IN-RGD,mandatory,Wall/ceiling-mount shower arm in rose gold (K-16346IN-RGD/ K-16347IN-RGD),128,high,false
K-26290IN-RGD,requires,K-26318IN-RGD,mandatory,Wall mount shower arm in rose gold (K-26318IN-RGD),128,high,false
K-38972IN-RGD,requires,K-26318IN-RGD,mandatory,Wall mount shower arm in rose gold (K-26318IN-RGD),128,high,false
K-28694IN-RGD,requires,K-99035T-ZZ-RGD,mandatory,Hand shower bracket in rose gold K-99035T-ZZ-RGD,129,high,false
K-97009IN-RGD,requires,K-99035T-ZZ-RGD,mandatory,"Hand shower bracket in rose gold K-99035T-ZZ-RGD, Flexible hose K-12067IN-RGD",129,high,false
K-97009IN-RGD,requires,K-12067IN-RGD,mandatory,"Hand shower bracket in rose gold K-99035T-ZZ-RGD, Flexible hose K-12067IN-RGD",129,high,false
K-28695IN-RGD,requires,K-99035T-ZZ-RGD,mandatory,Hand shower bracket in rose gold K-99035T-ZZ-RGD,129,high,false
K-39502IN-RGD,requires,K-99035T-ZZ-RGD,mandatory,"Hand shower bracket in rose gold K-99035T-ZZ-RGD, Flexible hose K-12067IN-RGD",129,high,false
K-39502IN-RGD,requires,K-12067IN-RGD,mandatory,"Hand shower bracket in rose gold K-99035T-ZZ-RGD, Flexible hose K-12067IN-RGD",129,high,false
K-30318IN-RGD,requires,K-30319IN-NA,mandatory,"Anthem+ Digital Control 28214-ASC-BL, Amplifier K-30319IN-NA",129,high,false
K-26350IN-9-RGD,requires,K-26344IN-NA,mandatory,"Trim only, for use with valve K-26344IN-NA",129,high,false
K-26349T-9-RGD/EX26349T-9-RGD,requires,K-26343T-NA,mandatory,"Trim only, for use with valve K-26343T-NA",130,high,false
K-26348IN-9-RGD,requires,K-26342IN-NA,mandatory,"Trim only, for use with valve K-26342IN-NA",130,high,false
K-26347IN-9-RGD,requires,K-26341IN-NA,mandatory,"Trim only, for use with valve K-26341IN-NA",130,high,false
K-25761IN-9-RGD,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",130,high,false
K-20742IN-9FP-RGD,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",130,high,false
K-24431IN-9FP-RGD,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",130,high,false
K-25759IN-4ND-BL,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",134,high,false
K-25761IN-9-BL,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",134,high,false
K-23486IN-4ND-BL,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",135,high,false
K-5684IN-4ND-BL,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve (K-5679IN-NA)",135,high,false
K-77311IN-4FP-BL,requires,K-99924IN-BL,mandatory,"Trim only, for use with valve (K-99924IN-BL)",135,high,false
K-38897IN-4FP-BL,requires,K-99924IN-BL,mandatory,"Trim only, for use with valve K-99924IN-BL",136,high,false
K-38890IN-4FP-BL,requires,K-99924IN-BL,mandatory,"Trim only, for use with valve K-99924IN-BL",136,high,false
K-9301IN-CL-BL,requires,K-22447IN-BL,mandatory,Ceiling-mount shower arm in Black (K-22447IN-BL),137,high,false
K-26297IN-BL,requires,K-26324IN-BL,mandatory,Statement™ wall/ceiling-mount shower arm in matte black (K-26324IN-BL/K-26326T-BL),137,high,false
K-26297IN-BL,requires,K-26326T-BL,mandatory,Statement™ wall/ceiling-mount shower arm in matte black (K-26324IN-BL/K-26326T-BL),137,high,false
K-9302IN-CL-BL,requires,K-22447IN-BL,mandatory,Ceiling-mount shower arm in Black (K-22447IN-BL),138,high,false
K-26296IN-BL,requires,K-26324IN-BL,mandatory,Statement™ wall/ceiling-mount shower arm in matte black (K-26324IN-BL/K-26326T-BL),138,high,false
K-26296IN-BL,requires,K-26326T-BL,mandatory,Statement™ wall/ceiling-mount shower arm in matte black (K-26324IN-BL/K-26326T-BL),138,high,false
K-24470IN-BL,requires,K-26324IN-BL,mandatory,Statement™ wall/ceiling-mount shower arm in matte black (K-26324IN-BL/K-26326T-BL),138,high,false
K-24470IN-BL,requires,K-26326T-BL,mandatory,Statement™ wall/ceiling-mount shower arm in matte black (K-26324IN-BL/K-26326T-BL),138,high,false
K-26294IN-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-26294IN-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-38629IN-BL,requires,K-26324IN-BL,mandatory,Wall/ceiling-mount shower arm in french gold (K-26324IN-BL/K-26326T-BL),138,high,false
K-38629IN-BL,requires,K-26326T-BL,mandatory,Wall/ceiling-mount shower arm in french gold (K-26324IN-BL/K-26326T-BL),138,high,false
K-27731IN-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-27731IN-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-26856IN-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-26856IN-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-26855IN-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-26855IN-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-26854IN-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-26854IN-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-38973IN-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-38973IN-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-39507IN-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-39507IN-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-73040IN-CL-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-73040IN-CL-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),138,high,false
K-73039IN-CL-BL,requires,K-22447IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),139,high,false
K-73039IN-CL-BL,requires,K-22446IN-BL,mandatory,Wall/ceiling-mount shower arm in matte black (K-22447IN-BL/K-22446IN-BL),139,high,false
K-26290IN-BL,requires,K-26318IN-BL,mandatory,Wall mount shower arm in matte black K-26318IN-BL,139,high,false
K-38972IN-BL,requires,K-26318IN-BL,mandatory,Wall mount shower arm in matte black K-26318IN-BL,139,high,false
K-28694IN-BL,requires,K-99035IN-BL,mandatory,Hand shower bracket in matte black K-99035IN-BL,139,high,false
K-28695IN-BL,requires,K-99035IN-BL,mandatory,Hand shower bracket in matte black K-99035IN-BL,139,high,false
K-39502IN-BL,requires,K-99035IN-BL,mandatory,"Hand shower bracket in matte black K-99035IN-BL, Flexible hose K-11628IN-BL",140,high,false
K-39502IN-BL,requires,K-11628IN-BL,mandatory,"Hand shower bracket in matte black K-99035IN-BL, Flexible hose K-11628IN-BL",140,high,false
K-98445IN-BL,requires,K-99035IN-BL,mandatory,Hand shower bracket in matte black K-99035IN-BL,140,high,false
K-30318IN-BL,requires,K-30319IN-NA,mandatory,"Anthem+ Digital Control 28214-ASC-BL, Amplifier K-30319IN-NA",140,high,false
K-28214-ASC-BL,requires,K-28212IN-NA,mandatory,Digital thermostatic valve K-28212IN-NA/ 28211IN-NA & System Controller Module 27756IN-NA,140,high,false
K-28214IN-BL,requires,K-28212IN-NA,mandatory,Digital thermostatic valve K-28212IN-NA/ K-28211IN-NA,140,high,false
K-28214IN-BL,requires,K-28211IN-NA,mandatory,Digital thermostatic valve K-28212IN-NA/ K-28211IN-NA,140,high,false
K-26350IN-9-BL,requires,K-26344IN-NA,mandatory,"Trim only, for use with valve K-26344IN-NA",140,high,false
EX26349T-9-BL,requires,K-26343T-NA,mandatory,"Trim only, for use with valve K-26343T-NA",140,high,false
K-26348IN-9-BL,requires,K-26342IN-NA,mandatory,"Trim only, for use with valve K-26342IN-NA",140,high,false
K-26347IN-9-BL,requires,K-26341IN-NA,mandatory,"Trim only, for use with valve K-26341IN-NA",140,high,false
K-25761IN-9-BL,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",140,high,false
K-20742IN-9FP-BL,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",141,high,false
K-24431IN-9FP-BL,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",141,high,false
K-23486IN-4ND-BRD,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",144,high,false
K-23496IN-4SL-BRD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",144,high,false
K-5684IN-4ND-BRD,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",144,high,false
K-72328IN-4SL-BRD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",145,high,false
K-5683IN-4ND-BRD,requires,K-5679IN-NA,mandatory,"Trim only, for use with valve K-5679IN-NA",145,high,false
K-72290IN-4SL-BRD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",145,high,false
K-38896IN-4FS-BRD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",145,high,false
K-38889IN-4FS-BRD,requires,K-882IN-NA,mandatory,"Trim only, for use with valve K-882IN-NA",146,high,false
K-9301IN-ZX-BRD,requires,K-15399IN-B-BRD,mandatory,Ceiling-mount shower arm in brushed rose gold (K-15399IN-B-BRD),146,high,false
K-26297IN-BRD,requires,K-26324IN-BRD,mandatory,Statement™ wall/ceiling-mount shower arm in brushed rose gold K-26324IN-BRD/K-26326IN-BRD,146,high,false
K-26297IN-BRD,requires,K-26326IN-BRD,mandatory,Statement™ wall/ceiling-mount shower arm in brushed rose gold K-26324IN-BRD/K-26326IN-BRD,146,high,false
K-9302IN-CL-BRD,requires,K-15399IN-B-BRD,mandatory,Ceiling-mount shower arm in brushed rose gold (K-15399IN-B-BRD),146,high,false
K-26296IN-BRD,requires,K-26324IN-BRD,mandatory,Statement™ wall/ceiling-mount shower arm in brushed rose gold K-26324IN-BRD/K-26326IN-BRD,146,high,false
K-26296IN-BRD,requires,K-26326IN-BRD,mandatory,Statement™ wall/ceiling-mount shower arm in brushed rose gold K-26324IN-BRD/K-26326IN-BRD,146,high,false
K-26294IN-BRD,requires,K-16346IN-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-26294IN-BRD,requires,K-15399IN-B-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-38629IN-BRD,requires,K-26324IN-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-26324IN-BRD/K-26326IN-BRD),147,high,false
K-38629IN-BRD,requires,K-26326IN-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-26324IN-BRD/K-26326IN-BRD),147,high,false
K-26856IN-BRD,requires,K-16346IN-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-26856IN-BRD,requires,K-15399IN-B-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-26855IN-BRD,requires,K-16346IN-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-26855IN-BRD,requires,K-15399IN-B-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-38973IN-BRD,requires,K-16346IN-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-38973IN-BRD,requires,K-15399IN-B-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-39507IN-BRD,requires,K-16346IN-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-39507IN-BRD,requires,K-15399IN-B-BRD,mandatory,Wall/ceiling-mount shower arm in brushed rose gold (K-16346IN-BRD/ K-15399IN-B-BRD),147,high,false
K-26290IN-BRD,requires,K-26318IN-BRD,mandatory,Wall mount shower arm in brushed rose gold (K-26318IN-BRD),147,high,false
K-38972IN-BRD,requires,K-26318IN-BRD,mandatory,Wall mount shower arm in brushed rose gold (K-26318IN-BRD),147,high,false
K-28694IN-BRD,requires,K-99035IN-BRD,mandatory,Hand shower bracket in brushed rose gold K-99035IN-BRD,148,high,false
K-28695IN-BRD,requires,K-99035IN-BRD,mandatory,Hand shower bracket in brushed rose gold K-99035IN-BRD,148,high,false
K-39502IN-BRD,requires,K-99035IN-BRD,mandatory,"Hand shower bracket in brushed rose gold K-99035IN-BRD, Flexible hose K-12067IN-BRD",148,high,false
K-39502IN-BRD,requires,K-12067IN-BRD,mandatory,"Hand shower bracket in brushed rose gold K-99035IN-BRD, Flexible hose K-12067IN-BRD",148,high,false
K-98445IN-BRD,requires,K-99035IN-BRD,mandatory,Hand shower bracket in brushed rose gold K-99035IN-BRD,148,high,false
K-26350IN-9-BRD,requires,K-26344IN-NA,mandatory,"Trim only, for use with valve K-26344IN-NA",148,high,false
K-26348IN-9-BRD,requires,K-26342IN-NA,mandatory,"Trim only, for use with valve K-26342IN-NA",148,high,false
K-26347IN-9-BRD,requires,K-26341IN-NA,mandatory,"Trim only, for use with valve K-26341IN-NA",148,high,false
K-20742IN-9FP-BRD,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",148,high,false
K-24431IN-9FP-BRD,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",149,high,false
K-20741IN-9FP-BRD,requires,K-20740IN-A-NA,mandatory,"Trim only, for use with valve K-20740IN-A-NA",149,high,false
