sku,product_name,collection,family_id,product_type,domain,category,subcategory,raw_description,raw_catalogue_text,mrp,currency,tax_included,price_note,finish_code,finish_name,colour_name,colour_family,appearance_notes,dimension_raw,width_mm,depth_mm,height_mm,diameter_mm,length_mm,min_width_mm,max_width_mm,min_depth_mm,max_depth_mm,min_height_mm,max_height_mm,dimension_type,trap_type,rough_in_mm,toilet_configuration,flush_type,seat_included,bidet_function,smart_features,basin_type,faucet_hole_count,mounting_type,overflow,material,control_type,faucet_type,drain_included,hand_shower,diverter,spout_type,touchless,sensor_type,shower_type,function_count,outlet_count,power_kw,steam_type,bowl_count,bowl_configuration,tap_hole_count,included_accessories,bath_type,installation_type,shape,hydrotherapy_features,included_components,required_components,order_with_components,compatible_skus,compatibility_notes,is_configurable,configuration_type,configuration_options,orientation,site_dependent,configuration_notes,catalogue_id,catalogue_name,catalogue_year,catalogue_edition,source_page,source_type,extraction_confidence,review_required,review_reason,duplicate_status,duplicate_group,reconciliation_status
K-16086IN-4-RGD,July™,July™,july-angle_valve,angle_valve,bathroom,vibrant_finishes,angle_valve,Angle valve 13mm (2 pcs per box) in rose gold,,6850.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,131,catalogue,high,False,,unique,,clean
K-16094IN-4-RGD,July™,July™,july-bib_tap,bib_tap,bathroom,vibrant_finishes,bib_tap,2-way bib tap in rose gold,,8240.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,131,catalogue,high,False,,unique,,clean
K-16087IN-4-RGD,July™,July™,july-stop_valve,stop_valve,bathroom,vibrant_finishes,stop_valve,In-line stop valve trim in rose gold,,2160.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,131,catalogue,high,False,,unique,,clean
K-7120IN-RGD,Complementary™,Complementary™,complementary-drain,drain,bathroom,vibrant_finishes,drain,"Click drain, big cap in rose gold",,5800.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,132,catalogue,high,False,,unique,,clean
K-45432IN-RGD,Complementary™,Complementary™,complementary-drain,drain,bathroom,vibrant_finishes,drain,Grid drain with overflow hole in rose gold,,1440.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,132,catalogue,high,False,,unique,,clean
K-20746IN-RGD,Complementary™,Complementary™,complementary-drain,drain,bathroom,vibrant_finishes,drain,Grid drain in rose gold,,1130.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,132,catalogue,high,False,,unique,,clean
K-75823IN-RGD,Complementary™,Complementary™,complementary-bottle_trap,bottle_trap,bathroom,vibrant_finishes,bottle_trap,350mm bottle trap in rose gold,,4530.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,132,catalogue,high,False,,unique,,clean
K-7314IN-RGD,Complementary™,Complementary™,complementary-bottle_trap,bottle_trap,bathroom,vibrant_finishes,bottle_trap,300mm bottle trap without drain in rose gold,,4220.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,132,catalogue,high,False,,unique,,clean
K-7275IN-ZZ-RGD,Complementary™,Complementary™,complementary-drain,drain,bathroom,vibrant_finishes,drain,Floor drain with 27 lpm discharge rate in rose gold,,3100.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,132,catalogue,high,False,,unique,,clean
K-97258IN-ZZ-RGD,Elate®,Elate®,,,bathroom,vibrant_finishes,,Health faucet with hose and bracket in rose gold,,6150.0,INR,True,,RGD,rose gold,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,132,catalogue,high,False,,unique,,clean
